date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:24	234496/234496	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2018:53:21%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5.html	(from )
16:15:27	539/539	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2021:15:25%20GMT	https://demo.goodlayers.com/robots.txt		(from )
16:15:28	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2028%20Aug%202023%2021:15:28%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/xmlrpc.php	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/xmlrpc.php	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:30	1142575/1142575	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Aug%202023%2007:13:45%20GMT	https://goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/cache/min/6/7501ba02b204cb94df6a139fff0de81c.css	C:/My%20Web%20Sites/tour%20v5/goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/cache/min/6/7501ba02b204cb94df6a139fff0de81c.css	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:30	87482/87482	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:15:14%20GMT	https://goodlayers.b-cdn.net/traveltour/homepages/main5/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/My%20Web%20Sites/tour%20v5/goodlayers.b-cdn.net/traveltour/homepages/main5/wp-includes/js/jquery/jquery.min3088.js	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:31	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:15:14%20GMT	https://goodlayers.b-cdn.net/traveltour/homepages/main5/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/tour%20v5/goodlayers.b-cdn.net/traveltour/homepages/main5/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:31	3477/3477	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2012%20Aug%202022%2015:00:19%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/comments/feed/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/comments/feed/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:31	58941/58941	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2012%20Aug%202022%2015:00:19%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/feed/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/feed/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:32	1743/1743	---MCZ	200	added ('OK')	application/json	date:Mon,%2028%20Aug%202023%2021:15:31%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/wp-json/wp/v2/pages/5483	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/wp-json/wp/v2/pages/5483.json	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:33	260898/260898	---MCZ	200	added ('OK')	application/json	date:Mon,%2028%20Aug%202023%2021:15:32%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/wp-json/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/wp-json/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:33	990/990	---MCZ	200	added ('OK')	text/xml	date:Mon,%2028%20Aug%202023%2021:15:32%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/xmlrpc.php?rsd	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/xmlrpc0db0.php	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:34	234496/234496	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2018:53:21%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:34	2578/2578	---MCZ	200	added ('OK')	application/json	date:Mon,%2028%20Aug%202023%2021:15:33%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.goodlayers.com%2Ftraveltour%2Fhomepages%2Fmain5%2F	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/wp-json/oembed/1.0/embed7bfd.json	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:35	2634/2634	---MCZ	200	added ('OK')	text/xml	date:Mon,%2028%20Aug%202023%2021:15:34%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.goodlayers.com%2Ftraveltour%2Fhomepages%2Fmain5%2F&format=xml	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/wp-json/oembed/1.0/embed5b64	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:35	1762/1762	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jul%202022%2015:58:33%20GMT	https://goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/uploads/sites/6/2022/07/logox1.png	C:/My%20Web%20Sites/tour%20v5/goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/uploads/sites/6/2022/07/logox1.png	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:35	3495/3495	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jul%202022%2015:58:34%20GMT	https://goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/uploads/sites/6/2022/07/logox2.png	C:/My%20Web%20Sites/tour%20v5/goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/uploads/sites/6/2022/07/logox2.png	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:37	3036/3036	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2021:15:36%20GMT	https://demo.goodlayers.com/traveltour/homepages/traveltour/homepages/main5/wp-login.php?action=lostpassword&source=tm&lang	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/traveltour/homepages/main5/wp-logina6df.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:38	162396/162396	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:49%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/register/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/register/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:39	150747/150747	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2021:15:38%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/404	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/404	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:42	144398/144398	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:50%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/login/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/login/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:42	150908/150908	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:51%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/destinations/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/destinations/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:42	181628/181628	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:51%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/about-us/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/about-us/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:43	178389/178389	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:54%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/about-us-2/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/about-us-2/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:44	167297/167297	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:55%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/about-team/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/about-team/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:45	159881/159881	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:57%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/contact/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/contact/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:45	182432/182432	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2020:56:55%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/our-service/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/our-service/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:45	158507/158507	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:40:11%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/contact-2/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/contact-2/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:46	162866/162866	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:40:12%20GMT	https://demo.goodlayers.com/traveltour/homepages/main5/contact-3/	C:/My%20Web%20Sites/tour%20v5/demo.goodlayers.com/traveltour/homepages/main5/contact-3/index.html	(from https://demo.goodlayers.com/traveltour/homepages/main5)
16:15:48	177815/177815	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202022%2007:55:10%20GMT	https://goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/uploads/sites/6/2022/07/hero-right.jpg	C:/My%20Web%20Sites/tour%20v5/goodlayers.b-cdn.net/traveltour/homepages/main5/wp-content/uploads/sites/6/2022/07/hero-right.jpg	(from https://demo.goodlayers.com/traveltour/homepages/main5)
